fixture_id,seed_index,seed,wave,ts_damage,ts_kills,ts_clear_ms,ts_energy_peak,damage_min,damage_max,clear_ms_min,clear_ms_max,energy_min,energy_max,damage_tolerance_pct,clear_ms_tolerance_pct,energy_tolerance_pct
baseline-s01-w01,1,2706515334,1,170,5,4367,40,161.5,178.5,4279.66,4454.34,38,42,5,2,5
baseline-s01-w02,1,2706515334,2,228,6,5483,40,216.6,239.4,5373.34,5592.66,38,42,5,2,5
baseline-s01-w03,1,2706515334,3,252,6,5733,40,239.4,264.6,5618.34,5847.66,38,42,5,2,5
baseline-s01-w04,1,2706515334,4,322,7,6900,40,305.9,338.1,6762,7038,38,42,5,2,5
baseline-s01-w05,1,2706515334,5,350,7,7083,40,332.5,367.5,6941.34,7224.66,38,42,5,2,5
baseline-s01-w06,1,2706515334,6,432,8,7750,40,410.4,453.6,7595,7905,38,42,5,2,5
baseline-s01-w07,1,2706515334,7,464,8,7733,40,440.8,487.2,7578.34,7887.66,38,42,5,2,5
baseline-s01-w08,1,2706515334,8,558,9,8767,40,530.1,585.9,8591.66,8942.34,38,42,5,2,5
baseline-s01-w09,1,2706515334,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s01-w10,1,2706515334,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s02-w01,2,3533979437,1,170,5,4017,40,161.5,178.5,3936.66,4097.34,38,42,5,2,5
baseline-s02-w02,2,3533979437,2,228,6,5133,40,216.6,239.4,5030.34,5235.66,38,42,5,2,5
baseline-s02-w03,2,3533979437,3,252,6,5733,40,239.4,264.6,5618.34,5847.66,38,42,5,2,5
baseline-s02-w04,2,3533979437,4,322,7,6733,40,305.9,338.1,6598.34,6867.66,38,42,5,2,5
baseline-s02-w05,2,3533979437,5,350,7,6733,40,332.5,367.5,6598.34,6867.66,38,42,5,2,5
baseline-s02-w06,2,3533979437,6,432,8,7733,40,410.4,453.6,7578.34,7887.66,38,42,5,2,5
baseline-s02-w07,2,3533979437,7,464,8,7733,40,440.8,487.2,7578.34,7887.66,38,42,5,2,5
baseline-s02-w08,2,3533979437,8,558,9,8733,40,530.1,585.9,8558.34,8907.66,38,42,5,2,5
baseline-s02-w09,2,3533979437,9,594,9,8883,40,564.3,623.7,8705.34,9060.66,38,42,5,2,5
baseline-s02-w10,2,3533979437,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s03-w01,3,2337740456,1,170,5,4233,40,161.5,178.5,4148.34,4317.66,38,42,5,2,5
baseline-s03-w02,3,2337740456,2,228,6,4983,40,216.6,239.4,4883.34,5082.66,38,42,5,2,5
baseline-s03-w03,3,2337740456,3,252,6,5483,40,239.4,264.6,5373.34,5592.66,38,42,5,2,5
baseline-s03-w04,3,2337740456,4,322,7,6733,40,305.9,338.1,6598.34,6867.66,38,42,5,2,5
baseline-s03-w05,3,2337740456,5,350,7,6483,40,332.5,367.5,6353.34,6612.66,38,42,5,2,5
baseline-s03-w06,3,2337740456,6,432,8,7483,40,410.4,453.6,7333.34,7632.66,38,42,5,2,5
baseline-s03-w07,3,2337740456,7,464,8,7750,40,440.8,487.2,7595,7905,38,42,5,2,5
baseline-s03-w08,3,2337740456,8,558,9,8733,40,530.1,585.9,8558.34,8907.66,38,42,5,2,5
baseline-s03-w09,3,2337740456,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s03-w10,3,2337740456,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s04-w01,4,961153511,1,170,5,3983,40,161.5,178.5,3903.34,4062.66,38,42,5,2,5
baseline-s04-w02,4,961153511,2,228,6,4983,40,216.6,239.4,4883.34,5082.66,38,42,5,2,5
baseline-s04-w03,4,961153511,3,252,6,6283,40,239.4,264.6,6157.34,6408.66,38,42,5,2,5
baseline-s04-w04,4,961153511,4,322,7,6733,40,305.9,338.1,6598.34,6867.66,38,42,5,2,5
baseline-s04-w05,4,961153511,5,350,7,6733,40,332.5,367.5,6598.34,6867.66,38,42,5,2,5
baseline-s04-w06,4,961153511,6,432,8,7700,40,410.4,453.6,7546,7854,38,42,5,2,5
baseline-s04-w07,4,961153511,7,464,8,7733,40,440.8,487.2,7578.34,7887.66,38,42,5,2,5
baseline-s04-w08,4,961153511,8,558,9,8733,40,530.1,585.9,8558.34,8907.66,38,42,5,2,5
baseline-s04-w09,4,961153511,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s04-w10,4,961153511,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s05-w01,5,2628943386,1,170,5,4483,40,161.5,178.5,4393.34,4572.66,38,42,5,2,5
baseline-s05-w02,5,2628943386,2,228,6,5733,40,216.6,239.4,5618.34,5847.66,38,42,5,2,5
baseline-s05-w03,5,2628943386,3,252,6,5733,40,239.4,264.6,5618.34,5847.66,38,42,5,2,5
baseline-s05-w04,5,2628943386,4,322,7,6733,40,305.9,338.1,6598.34,6867.66,38,42,5,2,5
baseline-s05-w05,5,2628943386,5,350,7,6733,40,332.5,367.5,6598.34,6867.66,38,42,5,2,5
baseline-s05-w06,5,2628943386,6,432,8,7700,40,410.4,453.6,7546,7854,38,42,5,2,5
baseline-s05-w07,5,2628943386,7,464,8,7733,40,440.8,487.2,7578.34,7887.66,38,42,5,2,5
baseline-s05-w08,5,2628943386,8,558,9,8733,40,530.1,585.9,8558.34,8907.66,38,42,5,2,5
baseline-s05-w09,5,2628943386,9,594,9,8750,40,564.3,623.7,8575,8925,38,42,5,2,5
baseline-s05-w10,5,2628943386,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s06-w01,6,2689054385,1,170,5,4733,40,161.5,178.5,4638.34,4827.66,38,42,5,2,5
baseline-s06-w02,6,2689054385,2,228,6,5733,40,216.6,239.4,5618.34,5847.66,38,42,5,2,5
baseline-s06-w03,6,2689054385,3,252,6,6233,40,239.4,264.6,6108.34,6357.66,38,42,5,2,5
baseline-s06-w04,6,2689054385,4,322,7,7100,40,305.9,338.1,6958,7242,38,42,5,2,5
